Recipe Name,Ingredients
Butter Chicken,"chicken, butter, tomato, cream, ginger, garlic, garam masala, coriander"
Chole,"chickpeas, onion, tomato, ginger, garlic, cumin, coriander, garam masala"
Biryani,"basmati rice, chicken, yogurt, onion, tomato, garlic, ginger, saffron, spices"
Paneer Butter Masala,"paneer, butter, tomato, cream, ginger, garlic, garam masala, coriander"
Aloo Gobi,"potato, cauliflower, turmeric, ginger, cumin, coriander, garlic"
Samosa,"potato, peas, flour, cumin, coriander, ginger, garam masala"
Dal Tadka,"lentils, onion, tomato, ginger, garlic, cumin, mustard seeds"
Rogan Josh,"lamb, yogurt, onion, garlic, ginger, cinnamon, cloves, cardamom"
Masala Dosa,"rice, urad dal, potato, onion, turmeric, mustard seeds, curry leaves"
Palak Paneer,"paneer, spinach, garlic, onion, cumin, cream, garam masala"
Raita,"yogurt, cucumber, cumin, salt, coriander"
Matar Paneer,"paneer, peas, tomato, onion, ginger, garlic, cumin, coriander"
Chicken Curry,"chicken, onion, garlic, ginger, tomato, cumin, coriander, turmeric"
Tandoori Chicken,"chicken, yogurt, garlic, ginger, turmeric, cumin, coriander"
Vegetable Pulao,"basmati rice, peas, carrot, potato, cumin, cloves, cinnamon"
Pav Bhaji,"potato, peas, bell pepper, tomato, onion, butter, pav bhaji masala"
Bhindi Masala,"okra, onion, tomato, cumin, coriander, turmeric, ginger"
Pani Puri,"semolina, flour, potato, chickpeas, tamarind, cumin, chaat masala"
Kheer,"rice, milk, sugar, cardamom, saffron, nuts"
Gulab Jamun,"milk powder, sugar, cardamom, ghee, flour, rose water"
